analytics_id,machine_id,log_timestamp,fuel_efficiency_score,engine_stability_score,utilization_ratio,wear_and_tear_index,safety_score,downtime_risk_pct
39,1,2025-07-07T00:00:00Z,100.0,75.69,62.6,33,100,0.01
40,1,2025-07-08T00:00:00Z,100.0,97.36,71.43,30,100,0.0
41,1,2025-07-09T00:00:00Z,100.0,95.19,54.67,30,100,0.0
42,1,2025-07-10T00:00:00Z,100.0,99.3,70.2,33,100,0.0
43,1,2025-07-11T00:00:00Z,99.01,93.78,56.14,33,98,0.01
44,1,2025-07-12T00:00:00Z,86.61,95.75,55.52,30,100,0.01
45,1,2025-07-13T00:00:00Z,87.1,84.88,59.94,33,98,0.02
46,1,2025-07-14T00:00:00Z,97.39,74.43,52.73,33,100,0.01
47,1,2025-07-15T00:00:00Z,91.8,100.0,59.05,32,100,0.01
48,1,2025-07-16T00:00:00Z,100.0,98.4,67.53,30,100,0.0
49,1,2025-07-17T00:00:00Z,92.44,79.3,58.87,33,98,0.02
50,1,2025-07-18T00:00:00Z,95.65,98.68,73.24,33,100,0.01
51,1,2025-07-19T00:00:00Z,100.0,91.49,64.47,30,98,0.01
52,1,2025-07-20T00:00:00Z,100.0,67.78,57.6,30,98,0.01
53,1,2025-07-21T00:00:00Z,98.16,84.04,53.4,30,96,0.01
54,1,2025-07-22T00:00:00Z,95.62,100.0,62.61,30,95,0.01
55,1,2025-07-23T00:00:00Z,95.41,87.93,63.6,30,98,0.01
56,1,2025-07-24T00:00:00Z,99.99,100.0,67.88,32,98,0.0
57,1,2025-07-25T00:00:00Z,91.34,68.46,53.14,33,96,0.03
58,1,2025-07-26T00:00:00Z,91.2,90.28,76.29,30,100,0.01
59,1,2025-07-27T00:00:00Z,100.0,85.08,76.75,33,100,0.01
60,1,2025-07-28T00:00:00Z,85.55,100.0,60.2,33,95,0.01
61,1,2025-07-29T00:00:00Z,86.58,0.0,38.38,100,40,84.17
62,1,2025-07-30T00:00:00Z,82.78,0.0,34.51,100,10,96.65
63,1,2025-07-31T00:00:00Z,82.81,0.0,36.53,100,38,87.65
64,1,2025-08-01T00:00:00Z,80.12,0.0,35.76,100,0,98.19
65,1,2025-08-02T00:00:00Z,81.1,0.0,35.07,100,0,98.1
66,1,2025-08-03T00:00:00Z,85.87,0.0,34.82,100,15,95.06
67,1,2025-08-04T00:00:00Z,94.55,89.13,57.38,30,100,0.01
68,1,2025-08-05T00:00:00Z,79.93,0.0,34.61,100,27,93.42
69,1,2025-08-06T00:00:00Z,80.16,0.0,34.51,100,3,97.9
70,1,2025-08-07T00:00:00Z,90.59,11.34,37.59,52,79,2.16
71,1,2025-08-08T00:00:00Z,82.42,0.0,34.44,100,0,97.97
72,1,2025-08-09T00:00:00Z,82.08,0.0,34.79,100,7,97.2
73,1,2025-08-10T00:00:00Z,81.15,0.0,34.1,100,21,94.75
74,1,2025-08-11T00:00:00Z,81.42,0.0,34.93,100,20,94.93
75,1,2025-08-12T00:00:00Z,81.29,0.0,35.76,100,25,93.62
76,1,2025-08-13T00:00:00Z,79.92,0.0,34.17,100,18,95.71
77,1,2025-08-14T00:00:00Z,80.02,0.0,35.07,100,15,96.26
78,1,2025-08-15T00:00:00Z,87.89,0.0,32.9,69,35,49.89
79,1,2025-08-16T00:00:00Z,97.48,68.6,59.57,33,98,0.02
80,1,2025-08-17T00:00:00Z,96.13,60.64,38.6,44,75,0.18
81,1,2025-08-18T00:00:00Z,81.33,0.0,35.21,100,5,97.55
82,1,2025-08-19T00:00:00Z,82.06,0.0,35.14,100,0,98.01
83,1,2025-08-20T00:00:00Z,81.66,0.0,35.21,100,0,98.05
84,1,2025-08-21T00:00:00Z,80.27,0.0,35.83,100,30,92.32
85,1,2025-08-22T00:00:00Z,80.7,0.0,35.62,100,8,97.25
86,1,2025-08-23T00:00:00Z,80.49,0.0,33.68,100,0,98.16
87,1,2025-08-24T00:00:00Z,79.66,0.0,34.44,100,0,98.23
88,1,2025-08-25T00:00:00Z,80.92,0.0,35.9,100,7,97.35
89,1,2025-08-26T00:00:00Z,82.29,0.0,35.28,97,0,97.6
90,1,2025-08-27T00:00:00Z,85.54,0.0,33.16,100,19,94.12
91,2,2025-05-30T00:00:00Z,100.0,83.31,56.14,32,98,0.01
92,2,2025-05-31T00:00:00Z,92.45,70.66,59.4,35,100,0.02
93,2,2025-06-01T00:00:00Z,99.73,68.07,55.1,35,100,0.02
94,2,2025-06-02T00:00:00Z,90.4,78.27,73.49,38,98,0.03
95,2,2025-06-03T00:00:00Z,95.08,76.74,67.15,32,100,0.01
96,2,2025-06-04T00:00:00Z,92.67,89.49,62.65,32,96,0.01
97,2,2025-06-05T00:00:00Z,100.0,95.98,54.22,38,100,0.01
98,2,2025-06-06T00:00:00Z,86.95,100.0,56.27,32,100,0.01
99,2,2025-06-07T00:00:00Z,81.6,78.79,54.33,35,100,0.03
100,2,2025-06-08T00:00:00Z,82.21,100.0,61.71,32,100,0.01
101,2,2025-06-09T00:00:00Z,92.36,98.29,67.38,32,100,0.01
102,2,2025-06-10T00:00:00Z,95.47,92.2,73.45,32,93,0.01
103,2,2025-06-11T00:00:00Z,100.0,97.11,53.42,35,98,0.01
104,2,2025-06-12T00:00:00Z,100.0,85.86,55.36,32,98,0.01
105,2,2025-06-13T00:00:00Z,90.64,76.55,68.96,32,100,0.02
106,2,2025-06-14T00:00:00Z,94.57,100.0,71.7,32,100,0.01
107,2,2025-06-15T00:00:00Z,89.28,99.92,58.37,41,100,0.01
108,2,2025-06-16T00:00:00Z,96.17,100.0,55.53,38,96,0.01
109,2,2025-06-17T00:00:00Z,94.61,100.0,61.69,32,100,0.01
110,2,2025-06-18T00:00:00Z,83.87,100.0,71.77,32,92,0.01
111,2,2025-06-19T00:00:00Z,99.93,79.86,64.29,32,100,0.01
112,2,2025-06-20T00:00:00Z,89.85,55.0,69.78,32,100,0.04
113,2,2025-06-21T00:00:00Z,87.68,65.57,58.39,35,100,0.04
114,2,2025-06-22T00:00:00Z,93.04,82.41,59.5,35,95,0.02
115,2,2025-06-23T00:00:00Z,94.97,89.84,60.93,35,98,0.01
116,2,2025-06-24T00:00:00Z,85.26,80.05,66.37,35,98,0.03
117,2,2025-06-25T00:00:00Z,100.0,82.95,63.68,32,100,0.01
118,2,2025-06-26T00:00:00Z,100.0,100.0,61.63,38,100,0.01
119,2,2025-06-27T00:00:00Z,85.62,97.01,53.36,32,98,0.01
120,2,2025-06-28T00:00:00Z,93.31,95.42,68.59,32,96,0.01
121,2,2025-06-29T00:00:00Z,82.37,100.0,69.85,32,100,0.01
122,2,2025-06-30T00:00:00Z,88.32,90.17,60.77,38,100,0.02
123,2,2025-07-01T00:00:00Z,100.0,88.63,71.22,37,100,0.01
124,2,2025-07-02T00:00:00Z,99.69,71.49,59.02,40,98,0.02
125,2,2025-07-03T00:00:00Z,97.24,98.17,66.09,32,100,0.01
126,2,2025-07-04T00:00:00Z,100.0,94.29,61.41,38,100,0.01
127,2,2025-07-05T00:00:00Z,96.94,100.0,68.69,32,100,0.0
128,2,2025-07-06T00:00:00Z,85.58,65.19,55.19,35,98,0.05
129,2,2025-07-07T00:00:00Z,100.0,100.0,73.57,35,96,0.01
130,2,2025-07-08T00:00:00Z,100.0,86.85,67.88,37,96,0.01
131,2,2025-07-09T00:00:00Z,93.74,100.0,74.68,32,96,0.01
132,2,2025-07-10T00:00:00Z,100.0,100.0,74.76,35,100,0.01
133,2,2025-07-11T00:00:00Z,97.18,88.36,56.33,38,98,0.01
134,2,2025-07-12T00:00:00Z,92.39,71.67,57.68,35,98,0.03
135,2,2025-07-13T00:00:00Z,95.15,98.9,62.31,32,98,0.01
136,2,2025-07-14T00:00:00Z,84.39,100.0,68.73,35,100,0.01
137,2,2025-07-15T00:00:00Z,72.9,64.92,62.94,32,100,0.07
138,2,2025-07-16T00:00:00Z,92.83,100.0,54.33,32,98,0.01
139,2,2025-07-17T00:00:00Z,100.0,100.0,54.52,44,93,0.01
140,2,2025-07-18T00:00:00Z,100.0,76.99,63.27,32,98,0.01
141,2,2025-07-19T00:00:00Z,94.38,64.83,54.74,32,100,0.02
142,2,2025-07-20T00:00:00Z,100.0,84.7,71.43,32,100,0.01
143,2,2025-07-21T00:00:00Z,86.49,89.17,65.44,35,100,0.02
144,2,2025-07-22T00:00:00Z,84.01,80.02,53.93,32,98,0.02
145,2,2025-07-23T00:00:00Z,100.0,86.17,64.13,35,98,0.01
146,2,2025-07-24T00:00:00Z,100.0,95.76,53.42,32,96,0.01
147,2,2025-07-25T00:00:00Z,100.0,100.0,59.25,38,100,0.01
148,2,2025-07-26T00:00:00Z,100.0,96.9,59.64,32,100,0.0
149,2,2025-07-27T00:00:00Z,83.02,100.0,60.86,32,100,0.01
150,2,2025-07-28T00:00:00Z,87.3,84.47,65.77,32,98,0.02
151,2,2025-07-29T00:00:00Z,82.86,0.0,37.05,100,31,90.94
152,2,2025-07-30T00:00:00Z,82.4,0.0,35.21,100,0,97.98
153,2,2025-07-31T00:00:00Z,81.86,0.0,35.14,100,0,98.03
154,2,2025-08-01T00:00:00Z,80.42,0.0,36.11,100,0,98.16
155,2,2025-08-02T00:00:00Z,94.01,44.02,30.0,49,67,0.76
156,2,2025-08-03T00:00:00Z,84.3,0.0,33.98,100,17,94.96
157,2,2025-08-04T00:00:00Z,81.56,0.0,34.37,100,0,98.06
158,2,2025-08-05T00:00:00Z,81.72,0.0,33.75,100,0,98.04
159,2,2025-08-06T00:00:00Z,79.96,0.0,35.0,100,0,98.2
160,2,2025-08-07T00:00:00Z,79.75,0.0,34.65,100,0,98.22
161,2,2025-08-08T00:00:00Z,81.68,0.0,35.42,100,22,94.35
162,2,2025-08-09T00:00:00Z,80.32,0.0,35.21,100,0,98.17
163,2,2025-08-10T00:00:00Z,92.48,6.24,34.51,94,53,52.91
164,2,2025-08-11T00:00:00Z,94.81,28.01,36.67,65,61,4.69
165,2,2025-08-12T00:00:00Z,78.51,0.0,34.37,100,25,94.4
166,2,2025-08-13T00:00:00Z,79.47,0.0,35.35,100,0,98.25
167,2,2025-08-14T00:00:00Z,82.07,0.0,35.56,100,0,98.01
168,2,2025-08-15T00:00:00Z,84.94,0.0,33.02,100,28,91.32
169,2,2025-08-16T00:00:00Z,99.41,81.81,56.53,32,100,0.01
170,2,2025-08-17T00:00:00Z,82.4,0.0,34.26,100,17,95.39
171,2,2025-08-18T00:00:00Z,100.0,75.26,27.33,46,71,0.11
172,2,2025-08-19T00:00:00Z,93.91,100.0,54.53,40,98,0.01
173,2,2025-08-20T00:00:00Z,85.38,0.0,35.21,100,0,97.66
174,2,2025-08-21T00:00:00Z,77.88,0.0,34.86,100,19,95.91
175,2,2025-08-22T00:00:00Z,81.6,0.0,34.86,100,13,96.34
176,2,2025-08-23T00:00:00Z,81.15,0.0,34.1,100,0,98.1
177,2,2025-08-24T00:00:00Z,79.75,0.0,35.21,100,0,98.22
178,2,2025-08-25T00:00:00Z,97.23,75.29,26.67,35,91,0.02
179,2,2025-08-26T00:00:00Z,94.06,43.69,38.67,83,62,7.1
180,2,2025-08-27T00:00:00Z,79.32,0.0,34.86,100,9,97.3
181,3,2025-05-30T00:00:00Z,90.41,91.24,58.23,32,98,0.01
182,3,2025-05-31T00:00:00Z,85.58,95.33,59.95,37,96,0.02
183,3,2025-06-01T00:00:00Z,87.09,78.73,66.03,32,100,0.02
184,3,2025-06-02T00:00:00Z,82.68,56.12,70.5,35,100,0.07
185,3,2025-06-03T00:00:00Z,99.34,100.0,59.88,32,93,0.01
186,3,2025-06-04T00:00:00Z,100.0,60.36,73.1,32,100,0.02
187,3,2025-06-05T00:00:00Z,87.14,92.11,57.54,32,100,0.01
188,3,2025-06-06T00:00:00Z,100.0,90.41,70.8,32,100,0.01
189,3,2025-06-07T00:00:00Z,100.0,71.64,67.54,35,100,0.02
190,3,2025-06-08T00:00:00Z,100.0,58.95,61.24,35,100,0.03
191,3,2025-06-09T00:00:00Z,100.0,55.0,61.25,32,100,0.03
192,3,2025-06-10T00:00:00Z,85.95,100.0,61.94,32,100,0.01
193,3,2025-06-11T00:00:00Z,92.7,86.18,72.8,35,98,0.01
194,3,2025-06-12T00:00:00Z,99.1,100.0,53.47,32,100,0.0
195,3,2025-06-13T00:00:00Z,100.0,73.47,55.41,35,98,0.02
196,3,2025-06-14T00:00:00Z,92.65,85.01,75.57,34,100,0.01
197,3,2025-06-15T00:00:00Z,100.0,79.78,72.49,32,98,0.01
198,3,2025-06-16T00:00:00Z,97.19,80.31,76.41,32,98,0.01
199,3,2025-06-17T00:00:00Z,89.69,83.81,72.25,35,95,0.02
200,3,2025-06-18T00:00:00Z,100.0,82.65,67.87,38,100,0.01
201,3,2025-06-19T00:00:00Z,100.0,91.53,72.82,32,100,0.01
202,3,2025-06-20T00:00:00Z,100.0,88.04,56.28,32,96,0.01
203,3,2025-06-21T00:00:00Z,84.64,91.76,55.4,34,96,0.02
204,3,2025-06-22T00:00:00Z,86.51,84.37,72.36,32,100,0.02
205,3,2025-06-23T00:00:00Z,100.0,86.56,73.36,32,100,0.01
206,3,2025-06-24T00:00:00Z,95.04,100.0,60.62,32,100,0.01
207,3,2025-06-25T00:00:00Z,86.94,100.0,59.59,32,96,0.01
208,3,2025-06-26T00:00:00Z,93.19,76.88,53.91,37,100,0.02
209,3,2025-06-27T00:00:00Z,95.16,82.89,60.5,38,96,0.02
210,3,2025-06-28T00:00:00Z,84.75,77.13,66.9,32,100,0.02
211,3,2025-06-29T00:00:00Z,93.21,82.63,73.95,32,100,0.01
212,3,2025-06-30T00:00:00Z,100.0,77.52,55.07,38,100,0.01
213,3,2025-07-01T00:00:00Z,100.0,75.39,71.44,32,100,0.01
214,3,2025-07-02T00:00:00Z,75.67,100.0,55.65,32,100,0.01
215,3,2025-07-03T00:00:00Z,94.6,100.0,54.95,38,100,0.01
216,3,2025-07-04T00:00:00Z,96.7,93.01,55.57,34,96,0.01
217,3,2025-07-05T00:00:00Z,100.0,69.43,69.24,32,98,0.02
218,3,2025-07-06T00:00:00Z,93.08,84.7,62.15,32,100,0.01
219,3,2025-07-07T00:00:00Z,95.65,68.51,68.98,32,100,0.02
220,3,2025-07-08T00:00:00Z,91.66,97.15,53.18,38,98,0.01
221,3,2025-07-09T00:00:00Z,79.13,61.16,53.47,35,98,0.07
222,3,2025-07-10T00:00:00Z,100.0,100.0,53.96,41,100,0.01
223,3,2025-07-11T00:00:00Z,93.0,81.62,54.86,35,100,0.01
224,3,2025-07-12T00:00:00Z,88.09,100.0,58.71,32,100,0.01
225,3,2025-07-13T00:00:00Z,97.35,100.0,75.77,32,100,0.0
226,3,2025-07-14T00:00:00Z,96.04,100.0,63.94,40,100,0.01
227,3,2025-07-15T00:00:00Z,100.0,100.0,56.5,32,100,0.0
228,3,2025-07-16T00:00:00Z,88.7,76.51,69.29,35,92,0.03
229,3,2025-07-17T00:00:00Z,89.22,100.0,67.13,34,100,0.01
230,3,2025-07-18T00:00:00Z,83.74,70.33,68.0,32,100,0.03
231,3,2025-07-19T00:00:00Z,92.66,98.43,65.0,38,100,0.01
232,3,2025-07-20T00:00:00Z,91.85,77.02,53.16,35,96,0.02
233,3,2025-07-21T00:00:00Z,100.0,81.2,62.8,32,96,0.01
234,3,2025-07-22T00:00:00Z,100.0,93.85,63.15,32,100,0.01
235,3,2025-07-23T00:00:00Z,80.69,71.46,53.88,32,100,0.03
236,3,2025-07-24T00:00:00Z,90.77,86.27,60.65,34,98,0.01
237,3,2025-07-25T00:00:00Z,94.8,99.07,57.51,32,100,0.01
238,3,2025-07-26T00:00:00Z,94.9,73.06,57.91,35,98,0.02
239,3,2025-07-27T00:00:00Z,98.8,66.03,54.73,32,98,0.02
240,3,2025-07-28T00:00:00Z,95.17,61.21,64.85,35,100,0.03
241,3,2025-07-29T00:00:00Z,100.0,80.13,58.74,35,100,0.01
242,3,2025-07-30T00:00:00Z,86.55,0.0,34.57,100,44,81.34
243,3,2025-07-31T00:00:00Z,92.86,42.65,28.97,65,70,1.89
244,3,2025-08-01T00:00:00Z,89.7,50.28,35.35,95,40,31.09
245,3,2025-08-02T00:00:00Z,82.34,0.0,33.82,100,0,97.98
246,3,2025-08-03T00:00:00Z,81.44,0.0,35.14,100,6,97.41
247,3,2025-08-04T00:00:00Z,80.27,0.0,34.24,100,0,98.18
248,3,2025-08-05T00:00:00Z,80.91,0.0,34.03,100,0,98.12
249,3,2025-08-06T00:00:00Z,82.21,0.0,33.82,100,0,98.0
250,3,2025-08-07T00:00:00Z,80.44,0.0,34.37,100,0,98.16
251,3,2025-08-08T00:00:00Z,91.91,0.0,37.05,88,46,59.5
252,3,2025-08-09T00:00:00Z,97.84,68.0,31.33,40,86,0.05
253,3,2025-08-10T00:00:00Z,83.79,0.0,34.57,100,0,97.83
254,3,2025-08-11T00:00:00Z,100.0,91.31,64.76,32,100,0.01
255,3,2025-08-12T00:00:00Z,91.96,12.28,36.19,86,25,69.44
256,3,2025-08-13T00:00:00Z,81.57,0.0,35.35,100,0,98.06
257,3,2025-08-14T00:00:00Z,80.71,0.0,34.79,100,13,96.49
258,3,2025-08-15T00:00:00Z,88.59,0.0,34.81,79,25,74.28
259,3,2025-08-16T00:00:00Z,100.0,73.79,75.87,35,98,0.02
260,3,2025-08-17T00:00:00Z,86.16,100.0,55.92,32,98,0.01
261,3,2025-08-18T00:00:00Z,81.7,0.0,35.0,100,11,96.66
262,3,2025-08-19T00:00:00Z,81.1,0.0,34.17,100,23,94.24
263,3,2025-08-20T00:00:00Z,81.92,0.0,34.58,100,0,98.02
264,3,2025-08-21T00:00:00Z,81.48,0.0,34.58,100,22,94.41
265,3,2025-08-22T00:00:00Z,81.09,4.79,33.68,100,37,87.03
266,3,2025-08-23T00:00:00Z,100.0,73.72,55.82,38,100,0.02
267,3,2025-08-24T00:00:00Z,90.96,40.58,18.96,61,67,2.06
268,3,2025-08-25T00:00:00Z,79.96,0.0,26.11,100,14,96.45
269,3,2025-08-26T00:00:00Z,77.87,0.0,24.51,100,0,98.38
270,3,2025-08-27T00:00:00Z,78.74,0.0,25.07,100,25,94.34
271,4,2025-05-30T00:00:00Z,96.46,84.71,69.2,33,100,0.01
272,4,2025-05-31T00:00:00Z,88.74,82.23,64.93,30,96,0.02
273,4,2025-06-01T00:00:00Z,100.0,92.83,54.38,32,100,0.01
274,4,2025-06-02T00:00:00Z,100.0,91.64,53.59,30,100,0.01
275,4,2025-06-03T00:00:00Z,100.0,100.0,60.17,33,98,0.0
276,4,2025-06-04T00:00:00Z,84.03,100.0,60.32,39,100,0.01
277,4,2025-06-05T00:00:00Z,79.08,100.0,66.46,33,100,0.01
278,4,2025-06-06T00:00:00Z,100.0,83.49,72.57,32,100,0.01
279,4,2025-06-07T00:00:00Z,100.0,100.0,54.22,30,100,0.0
280,4,2025-06-08T00:00:00Z,95.58,69.53,62.48,33,100,0.02
281,4,2025-06-09T00:00:00Z,100.0,82.31,66.24,30,100,0.01
282,4,2025-06-10T00:00:00Z,94.2,100.0,72.62,30,100,0.0
283,4,2025-06-11T00:00:00Z,100.0,90.78,68.38,33,100,0.01
284,4,2025-06-12T00:00:00Z,94.46,94.61,55.09,30,100,0.01
285,4,2025-06-13T00:00:00Z,80.48,98.25,54.71,33,100,0.01
286,4,2025-06-14T00:00:00Z,95.4,100.0,63.97,30,100,0.0
287,4,2025-06-15T00:00:00Z,83.69,56.72,63.53,33,95,0.07
288,4,2025-06-16T00:00:00Z,88.55,73.0,67.53,30,100,0.02
289,4,2025-06-17T00:00:00Z,82.55,95.93,53.23,32,100,0.01
290,4,2025-06-18T00:00:00Z,95.31,86.09,74.51,30,100,0.01
291,4,2025-06-19T00:00:00Z,94.3,100.0,61.95,30,100,0.0
292,4,2025-06-20T00:00:00Z,100.0,94.25,61.63,30,100,0.0
293,4,2025-06-21T00:00:00Z,99.6,100.0,62.43,30,100,0.0
294,4,2025-06-22T00:00:00Z,92.15,86.5,62.31,33,100,0.01
295,4,2025-06-23T00:00:00Z,91.27,81.46,57.47,33,100,0.01
296,4,2025-06-24T00:00:00Z,84.8,89.42,71.49,30,100,0.01
297,4,2025-06-25T00:00:00Z,76.33,97.75,69.51,30,100,0.01
298,4,2025-06-26T00:00:00Z,87.21,86.72,61.05,30,98,0.01
299,4,2025-06-27T00:00:00Z,100.0,79.36,74.15,30,98,0.01
300,4,2025-06-28T00:00:00Z,90.66,82.39,70.27,30,100,0.01
301,4,2025-06-29T00:00:00Z,86.96,92.29,54.68,33,95,0.01
302,4,2025-06-30T00:00:00Z,89.64,97.68,75.66,33,100,0.01
303,4,2025-07-01T00:00:00Z,92.81,84.19,63.2,33,100,0.01
304,4,2025-07-02T00:00:00Z,95.38,100.0,69.66,33,100,0.01
305,4,2025-07-03T00:00:00Z,95.13,81.37,53.66,30,100,0.01
306,4,2025-07-04T00:00:00Z,84.51,81.17,53.96,30,100,0.02
307,4,2025-07-05T00:00:00Z,79.05,91.93,55.64,30,100,0.01
308,4,2025-07-06T00:00:00Z,100.0,83.56,72.21,30,98,0.01
309,4,2025-07-07T00:00:00Z,92.26,100.0,60.66,30,100,0.01
310,4,2025-07-08T00:00:00Z,77.02,91.91,54.07,30,100,0.02
311,4,2025-07-09T00:00:00Z,100.0,100.0,69.88,33,100,0.0
312,4,2025-07-10T00:00:00Z,79.05,84.14,69.63,30,100,0.02
313,4,2025-07-11T00:00:00Z,100.0,86.9,62.06,33,100,0.01
314,4,2025-07-12T00:00:00Z,100.0,66.07,67.38,30,100,0.01
315,4,2025-07-13T00:00:00Z,96.8,80.8,62.71,30,100,0.01
316,4,2025-07-14T00:00:00Z,100.0,75.05,75.67,30,100,0.01
317,4,2025-07-15T00:00:00Z,100.0,100.0,75.24,30,100,0.0
318,4,2025-07-16T00:00:00Z,100.0,99.49,70.34,30,100,0.0
319,4,2025-07-17T00:00:00Z,100.0,83.38,72.23,36,98,0.01
320,4,2025-07-18T00:00:00Z,86.01,100.0,57.84,30,100,0.01
321,4,2025-07-19T00:00:00Z,97.61,89.24,69.69,30,98,0.01
322,4,2025-07-20T00:00:00Z,72.37,74.17,54.9,30,100,0.04
323,4,2025-07-21T00:00:00Z,99.16,77.04,67.12,30,100,0.01
324,4,2025-07-22T00:00:00Z,74.82,83.18,55.45,30,100,0.03
325,4,2025-07-23T00:00:00Z,90.23,62.32,71.88,30,100,0.03
326,4,2025-07-24T00:00:00Z,91.27,79.34,70.94,33,98,0.02
327,4,2025-07-25T00:00:00Z,95.5,74.79,73.3,30,100,0.01
328,4,2025-07-26T00:00:00Z,100.0,100.0,55.89,33,98,0.0
329,4,2025-07-27T00:00:00Z,99.25,100.0,53.7,33,98,0.01
330,4,2025-07-28T00:00:00Z,92.79,71.22,64.08,30,100,0.02
331,4,2025-07-29T00:00:00Z,92.27,82.87,37.58,68,72,0.43
332,4,2025-07-30T00:00:00Z,94.67,42.15,38.79,36,81,0.18
333,4,2025-07-31T00:00:00Z,79.75,0.0,34.1,90,1,96.65
334,4,2025-08-01T00:00:00Z,80.64,0.0,35.35,100,32,91.44
335,4,2025-08-02T00:00:00Z,79.75,0.0,34.24,100,14,96.49
336,4,2025-08-03T00:00:00Z,87.42,44.64,33.12,74,47,11.24
337,4,2025-08-04T00:00:00Z,90.68,75.0,30.0,41,94,0.04
338,4,2025-08-05T00:00:00Z,83.44,0.0,35.78,90,36,80.66
339,4,2025-08-06T00:00:00Z,96.83,100.0,67.53,30,100,0.0
340,4,2025-08-07T00:00:00Z,98.34,77.33,31.11,36,79,0.04
341,4,2025-08-08T00:00:00Z,80.97,27.68,34.17,100,17,88.02
342,4,2025-08-09T00:00:00Z,80.91,0.0,33.61,100,17,95.71
343,4,2025-08-10T00:00:00Z,83.79,0.0,35.62,100,0,97.83
344,4,2025-08-11T00:00:00Z,80.52,0.0,34.31,100,0,98.15
345,4,2025-08-12T00:00:00Z,81.4,0.0,33.68,100,0,98.07
346,4,2025-08-13T00:00:00Z,81.24,0.0,34.72,100,1,97.99
347,4,2025-08-14T00:00:00Z,79.71,0.0,32.08,100,3,97.95
348,4,2025-08-15T00:00:00Z,82.71,0.0,35.07,97,1,97.43
349,4,2025-08-16T00:00:00Z,82.83,0.0,34.86,92,11,94.42
350,4,2025-08-17T00:00:00Z,79.4,0.0,35.14,100,26,93.88
351,4,2025-08-18T00:00:00Z,83.5,0.0,34.21,83,4,93.12
352,4,2025-08-19T00:00:00Z,89.69,51.25,39.3,48,84,0.29
353,4,2025-08-20T00:00:00Z,80.29,0.0,34.17,92,0,97.08
354,4,2025-08-21T00:00:00Z,82.85,17.15,35.0,94,0,94.33
355,4,2025-08-22T00:00:00Z,80.76,0.0,34.93,99,1,97.92
