machine_id,asset_type,manufacturer,year_of_manufacture,current_location_lat,current_location_lon,status,rental_price_per_hour,rental_price_per_day
26,bulldozer,Volvo CE,2021,13.114244,80.284562,rented,1707.55,11599.4
27,crane,Liebherr,2022,23.039583,72.632677,rented,1958.82,14081.2
28,compactor,JCB,2021,26.974909,75.807933,rented,816.86,5456.02
29,bulldozer,Sany,2021,26.867823,75.74593,rented,1658.48,9900.48
30,crane,Sany,2024,26.917917,75.801122,available,1677.18,12366.73
31,bulldozer,Volvo CE,2023,23.018777,72.607114,rented,1835.4,10684.3
32,crane,Sany,2019,13.110649,80.269929,rented,1862.29,10834.92
33,excavator,Doosan,2022,26.903082,75.857077,rented,1095.5,8262.71
34,generator,JCB,2023,26.982281,75.818578,rented,724.61,5084.92
35,crane,Liebherr,2019,22.515784,88.325279,under_maintenance,2141.42,15100.31
36,generator,Komatsu,2024,13.126586,80.31324,rented,720.35,4707.55
37,compactor,JCB,2022,22.593045,88.421837,rented,988.92,5806.25
38,loader,Caterpillar,2017,26.832176,75.796474,rented,1177.36,7310.93
39,excavator,JCB,2023,26.986462,75.855528,rented,1087.61,9125.3
40,generator,JCB,2022,26.833649,75.796855,under_maintenance,776.3,5155.17
41,crane,Doosan,2024,18.538399,73.843202,rented,1804.03,11319.88
42,bulldozer,Doosan,2021,22.591606,88.412528,rented,1408.66,9625.61
43,generator,Volvo CE,2020,26.834291,75.79463,under_maintenance,813.25,5798.82
44,loader,JCB,2017,18.483933,73.890107,rented,1101.26,6838.38
45,compactor,JCB,2024,23.032052,72.626298,available,1024.84,6506.85
46,generator,Sany,2019,12.945795,77.682097,rented,712.47,4952.98
47,crane,Volvo CE,2017,13.109712,80.281579,rented,1917.35,12235.78
48,crane,Sany,2024,26.920806,75.804906,rented,1780.19,13073.54
49,crane,Caterpillar,2024,22.498424,88.330062,available,1821.65,12486.0
50,loader,JCB,2015,18.488427,73.901379,rented,902.39,6143.73
51,excavator,JCB,2017,26.981955,75.811012,rented,1256.44,8090.88
52,excavator,Komatsu,2020,13.027877,77.54541,rented,1222.25,7395.67
53,excavator,Komatsu,2022,13.025744,77.531569,rented,1227.48,8146.94
54,crane,JCB,2019,26.864923,75.747367,rented,1663.98,11859.52
55,compactor,Liebherr,2018,22.516875,88.312175,rented,971.64,6829.68
56,loader,Doosan,2024,26.991468,75.862363,rented,1164.65,6834.95
57,generator,Liebherr,2019,12.954448,77.672731,rented,765.11,5578.14
58,excavator,JCB,2023,18.485851,73.897046,rented,1230.94,8912.98
59,excavator,Caterpillar,2022,12.953661,77.680464,rented,1430.92,8428.97
60,crane,JCB,2021,23.049788,72.609473,rented,1651.76,12727.26
61,bulldozer,Sany,2023,26.876711,75.75785,rented,1359.94,10464.44
62,crane,Komatsu,2024,23.049274,72.594546,rented,2043.1,12526.42
63,compactor,Volvo CE,2016,26.979095,75.857697,rented,933.23,6619.53
64,excavator,Liebherr,2022,26.964261,75.818598,rented,1363.57,9286.18
65,generator,JCB,2021,18.528055,73.92414,rented,794.76,4783.32
66,excavator,Sany,2022,26.844251,75.786022,rented,1368.36,9010.7
67,excavator,Caterpillar,2020,26.830573,75.8022,rented,1275.39,8219.37
68,bulldozer,JCB,2022,12.90839,77.585347,under_maintenance,1387.79,9045.55
69,bulldozer,Komatsu,2023,26.92657,75.810886,rented,1385.42,10707.52
70,loader,Caterpillar,2021,26.901709,75.758567,rented,1130.73,8229.85
71,excavator,Volvo CE,2020,22.498486,88.313959,rented,1493.48,8116.13
72,generator,Komatsu,2024,13.039677,77.571826,rented,772.53,4658.23
73,compactor,Caterpillar,2022,13.052393,77.566912,under_maintenance,936.98,7218.52
74,excavator,Komatsu,2023,26.905684,75.759086,rented,1268.68,8954.94
75,excavator,Doosan,2023,26.976473,75.804254,rented,1300.52,8806.96
76,bulldozer,Sany,2023,22.5225,88.305032,rented,1455.76,9443.6
77,crane,JCB,2020,23.016915,72.616131,rented,1957.78,13220.5
78,loader,Caterpillar,2022,12.900508,77.658975,rented,1413.88,8426.5
79,loader,Volvo CE,2020,13.02062,77.548647,rented,1223.38,9190.47
80,generator,Liebherr,2016,18.540268,73.920116,rented,717.23,5654.39
81,crane,Komatsu,2019,18.535937,73.922883,rented,1966.16,11845.24
82,compactor,Caterpillar,2022,26.971858,75.814076,available,1096.42,7315.63
83,crane,Liebherr,2021,13.10328,80.279421,rented,1866.37,15128.58
84,bulldozer,Komatsu,2013,26.863323,75.756354,rented,1323.94,9516.88
85,crane,JCB,2020,26.909134,75.812399,available,1764.02,13486.57
86,bulldozer,Liebherr,2022,26.868635,75.747269,rented,1675.46,10110.35
87,excavator,Volvo CE,2023,26.970497,75.819026,rented,1513.81,8268.48
88,compactor,JCB,2021,26.899403,75.755429,rented,881.85,6825.09
89,excavator,Volvo CE,2014,26.844377,75.793891,rented,1365.18,8346.88
90,generator,Sany,2024,12.950402,77.667945,available,740.57,4858.13
91,loader,Volvo CE,2021,12.951079,77.664421,rented,1199.11,8250.2
92,crane,Doosan,2018,22.599106,88.426248,available,1845.73,12534.84
93,excavator,Doosan,2020,13.034062,77.54172,rented,1317.47,8779.24
94,excavator,Komatsu,2018,22.50755,88.313668,rented,1063.07,7861.29
95,bulldozer,Komatsu,2018,22.517502,88.320505,rented,1316.72,9958.87
96,excavator,Volvo CE,2022,26.977147,75.849462,rented,1357.95,10052.46
97,crane,Sany,2019,12.908426,77.569349,rented,1742.35,10928.18
98,loader,JCB,2021,18.497536,73.905758,rented,1029.32,8177.83
99,bulldozer,Komatsu,2020,23.016298,72.614631,rented,1581.83,9252.81
100,excavator,Liebherr,2021,13.02382,77.53348,rented,1237.86,9634.17
101,crane,Komatsu,2021,23.048636,72.609146,available,1652.74,13265.58
102,crane,Caterpillar,2024,12.907526,77.654481,rented,2170.35,12369.33
103,generator,Sany,2016,22.5018,88.317484,available,593.26,5063.65
104,excavator,Volvo CE,2021,13.121181,80.330236,rented,1335.35,8894.24
105,excavator,Volvo CE,2023,13.034066,77.549062,available,1482.7,10185.84
106,crane,Komatsu,2020,26.91383,75.798368,rented,2063.7,13060.13
107,generator,Sany,2024,12.95256,77.670077,under_maintenance,695.85,4420.2
108,bulldozer,Caterpillar,2024,26.861926,75.749438,rented,1838.4,11643.53
109,generator,Liebherr,2022,26.965222,75.803835,rented,788.75,6056.54
110,excavator,Doosan,2017,26.89816,75.754971,rented,1046.56,7694.14
111,excavator,Liebherr,2017,12.9327,77.528979,rented,1148.41,8625.56
112,excavator,Caterpillar,2024,26.976348,75.849805,rented,1228.52,8330.15
113,excavator,Caterpillar,2018,18.534505,73.921489,rented,1204.48,9178.29
114,crane,Doosan,2022,12.894631,77.584943,rented,1955.72,12550.11
115,excavator,Caterpillar,2021,18.535514,73.850491,rented,1532.89,8903.71
116,excavator,Doosan,2024,26.903194,75.860596,rented,1165.71,8937.2
117,generator,Caterpillar,2024,13.02743,77.534023,rented,749.42,6132.97
118,loader,Liebherr,2019,23.039483,72.621512,under_maintenance,1092.68,9425.38
119,generator,Liebherr,2024,13.017928,77.532701,rented,714.06,6036.1
120,compactor,Volvo CE,2024,26.899669,75.857535,under_maintenance,1040.18,7716.18
121,bulldozer,Sany,2021,22.598922,88.423941,available,1377.67,10384.64
122,bulldozer,Doosan,2017,22.507319,88.294789,rented,1610.68,9689.28
123,crane,Caterpillar,2023,12.904756,77.661975,rented,2131.62,14433.72
124,crane,JCB,2024,22.506404,88.303276,rented,1824.54,12682.67
125,crane,Komatsu,2020,13.112513,80.284906,available,1882.94,13503.47
126,bulldozer,JCB,2023,22.517822,88.295948,available,1367.04,9702.41
127,bulldozer,Doosan,2017,22.517247,88.299292,rented,1604.02,10552.12
128,loader,Komatsu,2019,26.873825,75.75726,rented,1093.0,7754.49
129,compactor,Komatsu,2023,26.987212,75.851792,rented,872.41,5682.18
130,generator,Doosan,2022,13.129565,80.320364,rented,711.15,4744.02
131,loader,Komatsu,2022,12.942312,77.514615,rented,1150.51,6895.75
132,excavator,Liebherr,2020,13.025787,77.537828,rented,1537.0,10273.11
133,excavator,JCB,2016,12.926811,77.524294,rented,1186.29,7610.42
134,loader,Komatsu,2020,12.943164,77.681598,rented,1075.12,8275.87
135,generator,Sany,2014,22.517574,88.328765,rented,659.85,3973.32
136,bulldozer,Doosan,2021,18.541742,73.837215,rented,1691.6,11056.34
137,excavator,Sany,2018,26.910382,75.744691,rented,1310.34,8305.38
138,generator,Doosan,2017,26.903472,75.756025,rented,693.11,4532.58
139,generator,Komatsu,2023,12.934753,77.516092,rented,793.23,5359.28
140,bulldozer,Doosan,2021,12.900235,77.667505,rented,1366.96,9065.92
141,generator,Doosan,2023,26.832824,75.804765,rented,695.88,5292.66
142,excavator,Volvo CE,2022,22.506014,88.319481,available,1541.32,8400.93
143,bulldozer,JCB,2024,26.873533,75.75248,rented,1572.8,9952.23
144,bulldozer,Volvo CE,2021,12.899533,77.57293,rented,1919.36,12437.93
145,crane,Sany,2019,18.5409,73.844774,rented,1957.3,11961.96
146,compactor,JCB,2020,13.029524,77.534743,rented,903.33,5810.11
147,bulldozer,JCB,2022,23.025166,72.617924,rented,1371.14,11161.81
148,generator,Doosan,2022,12.927815,77.529024,rented,772.26,5519.66
149,compactor,Doosan,2020,18.547567,73.849174,rented,1034.24,6233.15
150,bulldozer,Volvo CE,2024,26.876871,75.754566,rented,1834.97,12725.34
